Number,Field,Notes,,,
450,Don’t Judge a Book by Its Cover: Don’t be deceived by looks; don’t rely on looks when judging someone or something,,,,
451,Don’t Cry Over Spilled Milk: Don’t worry about minor things.,,,,
452,Don’t Look a Gift Horse in the Mouth: Do not question the value of a gift. The expression comes from the practice of determining the age and health of a horse by looking at its teeth.,,,,
453,Double-Dip: Improperly get income from two different sources,,,,
454,Double-Edged Sword: Something that can be helpful or harmful; something beneficial that also has a downside,,,,
455,"Down in the Dumps: Depressed, sad",,,,
456,Down the Road: In the future (in your lifetime),,,,
457,Drag One’s Feet (or Heels): To do something reluctantly and slowly,,,,
458,Drag Your Feet: Do something very reluctantly; delay doing something,,,,
459,Drain the Lizard: Urinate,,,,
460,Draw a Blank: Be unable to remember something,,,,
461,Draw a Line in the Sand: Issue an ultimatum; specify an absolute limit in a conflict,,,,
462,Draw a Line Under (Something): To conclude something and move on to something else,,,,
463,"Draw a Long Bow: Exaggerate, lie",,,,
464,Draw the Line: To set a limit to what one will accept,,,,
465,Dressed Up to the Nines: Someone is wearing very smart or glamorous clothes,,,,
466,"Drink the Kool-Aid: Accept a set of ideas uncritically, often dangerous ones",,,,
467,Drive a Hard Bargain: To arrange a transaction so that it benefits oneself.,,,,
468,Drive a Hard Bargain: To negotiate effectively,,,,
469,Drive a Wedge Between: Try to split factions of a united group by introducing an issue on which they disagree,,,,
470,Drive Someone Up the Wall: Deeply irritate someone,,,,
471,"Dog-and-Pony Show: A flashy presentation, often in a marketing context",,,,
472,Drop the Ball: Fail to fulfill one’s responsibilities; make a mistake,,,,
473,Dry Run: A practice execution of a procedure,,,,
474,Dutch Courage: Alcohol drunk with the intention of working up the nerve to do something,,,,
476,Dutch Uncle: A highly critical person,,,,
477,"Eager beaver: The term eager beaver refers to a person who is hardworking and enthusiastic, sometimes considered overzealous.",,,,
481,Eagle-Eyed: Having sharp vision,,,,
482,"Early Bird [noun or adjective]: Someone who does something prior to the usual time, or someone who gets up early.",,,,
484,"Eat Crow: To admit one was wrong, and accept humiliation",,,,
485,"Eat Humble Pie: To admit defeat or error, to accept humiliation",,,,
486,Eat Someone’s Lunch: Defeat someone thoroughly,,,,
487,"Eat Your Heart Out!: (excl.) Go ahead, be jealous.",,,,
488,"Eighty-Six (v.): 1) Discard, eliminate. 2) Throw someone out of a bar or store.",,,,
489,Elephant in the Room: A major problem that no one is talking about,,,,
490,Elevator Music: Pleasant but boring recorded music that is played in public places.,,,,
491,"Elevator Pitch: A brief presentation of an idea, one short enough to be delivered in an elevator",,,,
492,,,,,
493,Eleventh Hour: The last minute,,,,
494,Even Steven: Owing nothing; tied (in a game),,,,
495,"Every Dog Has His (Its): Day Everyone has a moment of fame, power, or influence",,,,
496,Every Man and His Dog: Many people,,,,
497,Excused Boots: Allowed to avoid mandatory tasks,,,,
498,Drop a Line: To write a letter or send an email,,,,
499,Face the Music: Dealing with consequences of one’s actions,,,,
500,Face the Music: To accept judgment or punishment,,,,
501,"Fall for Something: Hook, Line, and Sinker To be completely deceived",,,,
502,Fall in Love with Somebody: Start feeling love towards somebody,,,,
503,Fall Off the Wagon: To begin using alcohol (or another problem substance) after quitting,,,,
504,Fall on One’s Sword: To accept blame; to sacrifice oneself,,,,
505,Fall Prey to: Be victimized by; be harmed by; be vulnerable to,,,,
506,Fancy Someone (British English): To find someone very attractive,,,,
507,"Farther (On) Down the Road: Later, at some unspecified time",,,,
508,"Farther (On) Down the Road: Later, at some unspecified time",,,,
509,Fashion-Forward: Tending to adopt new styles quickly,,,,
510,"Fat Cat: A highly placed, well-paid executive",,,,
511,"Father Figure: A mentor, a person who offers guidance",,,,
512,Feast Your Eyes On: To take great pleasure in looking at someone or something,,,,
513,Feather in One’s Cap: An achievement for which one is recognized; a noteworthy achievement,,,,
514,Feather One’s (Own) Nest: Use one’s influence or power improperly for financial gain,,,,
515,Feather One’s Nest: To take advantage of one’s position to benefit oneself,,,,
516,Fed Up With: Refusing to tolerate something any further; out of patience,,,,
517,"Feel Like a Million Dollars: To feel great, to feel well and healthy.",,,,
518,Feel On Top of The World: To feel very healthy,,,,
519,Every Man for Himself: Pursue your own interests; don’t expect help from others.,,,,
520,Fell off the Back of a Lorry: Probably stolen or illicitly obtained; said of something offered for sale to avoid discussing its origins,,,,
521,Fifteen Minutes of Fame: Temporary renown,,,,
522,Fifth Wheel: A superfluous person,,,,
523,"Fight Fire with Fire: Use the same measures that are being used against you, even if they’re stronger than you would usually use",,,,
524,Fight Like Cat and Dog: Continually arguing with each other,,,,
525,Find One’s Voice: Become more confident in expressing oneself,,,,
526,Find Your Feet: To adjust to a new place or situation,,,,
527,Finger-Pointing: Blame; a situation within a group where each member attempts to blame others,,,,
528,Finger-Pointing: Blame; a situation within a group where each member attempts to blame others,,,,
529,Fire in the Belly: strong ambition,,,,
530,"First In, Best Dressed: The first people to do something will have an advantage",,,,
531,Fish for Compliments: Try to manipulate people into praising you,,,,
532,Fish or Cut Bait (usually an exclamation): Make a decision or give someone else a chance,,,,
533,"Fish Out of Water: A person who is in unfamiliar, confusing surroundings",,,,
534,Five-Finger Discount: Shoplifting,,,,
535,"Flash in the Pan: A one-time occurrence, not a permanent phenomenon",,,,
536,Flat Broke: Having no money at all,,,,
537,Flat Out Like a Lizard: Drinking Very busy,,,,
538,"Flesh and Blood: Blood relatives, close relatives",,,,
539,"Flew the Coop: Left, escaped",,,,
540,"Flip-Flop (v. or n.): To vacillate between two choices, to be indecisive",,,,
541,"Fell off a Truck: Probably stolen or illicitly obtained; said of something offered for sale to
avoid discussing its origins",,,,
542,"Fly High: Be very successful, especially temporarily",,,,
543,Fly Off The Handle: Lose one’s temper suddenly and unexpectedly,,,,
544,Fly off the Handle: To become suddenly enraged,,,,
545,Follow In Someone’s Footsteps (Tracks): Follow the example laid down by someone else; supplant,,,,
546,Follow Your Heart: Rely on one’s deeper feelings and instincts when making a decision,,,,
547,Food for Thought: Something that makes you think carefully,,,,
548,For a Song: At very low cost,,,,
549,For a Song: At very low cost,,,,
550,For Crying Out Loud (excl.): An expression of extreme annoyance,,,,
551,"For Xyz Reasons: For multiple reasons, not worth specifying individually",,,,
552,"Foul Play: Crime, typically murder",,,,
553,Fourth Estate: The media and newspapers,,,,
554,Fox in the Henhouse (Chickenhouse): Someone who causes trouble,,,,
555,Freak Out: A wildly irrational reaction or spell of behavior,,,,
556,French Leave: Absence without permission,,,,
557,Freudian Slip: Accidental use of an incorrect word; a revealing slip of the tongue,,,,
558,"From Pillar to Post: From one place to another, in a forced, random way",,,,
559,"From Scratch: From individual ingredients, not using a prepared mix",,,,
560,From Soup to Nuts: Everything; from beginning to end,,,,
561,From the Bottom of One’s Heart: Sincerely and with deep feeling,,,,
562,"FUBAR: Hopelessly ruined, not working, messed up.",,,,
563,Fu** (Or Screw) The Dog (Pooch): To make an embarrassing error,,,,
564,Full Fathom Five: Lost deep in the sea,,,,
565,"Fly by the Seat of One’s Pants: To improvise, to make decisions without planning or
preparation",,,,
566,"Full of the Joys of Spring: Very happy, enthusiastic and full of energy",,,,
567,Get A Charley Horse: To develop a cramp in the arm or the leg,,,,
568,Get A Word In Edgewise: Be able to say something while someone else is talking a lot,,,,
569,Get Along (with Someone): To have a satisfactory relationship,,,,
570,"Get Bent Out of Shape: Become angry, upset",,,,
571,Get Carried Away: Become overly enthusiastic,,,,
572,Get In on the Ground Floor: Invest in or join something while it is still small,,,,
573,Get in Shape: Undertake a program of physical conditioning; exercise regularly,,,,
574,Get Off Scot Free: Be accused of wrongdoing but pay no penalty at all,,,,
575,Get Off Scot Free: Be accused of wrongdoing but pay no penalty at all,,,,
576,Get One’s Ducks in a Row: Have everything organized; get oneself organized,,,,
577,Get One’s Hands Dirty: To do the unpleasant parts of a job,,,,
578,Get Someone’s Goat: To irritate someone deeply,,,,
579,Get To Grips With: To begin to understand and deal with something,,,,
580,Get the Ball Rolling: Do something to begin a process,,,,
581,Get the Picture: Understand what’s happening,,,,
582,Get the Runaround: Be given an unclear or evasive answer to a question,,,,
583,"Get the Sack, Be Sacked: To be fired",,,,
584,Get the Third Degree: To be questioned in great detail about something,,,,
585,Get Wind of: Hear about,,,,
586,"Get With the Program: Figure out what everyone else already knows. Often used sarcastically, as a command",,,,
587,"Go Along (With): Agree to something, often provisionally",,,,
588,Go Ape: Express wild excitement or anger,,,,
589,Game of Chicken: A conflict situation in which neither side will back down for fear of seeming cowardly (chicken),,,,
590,Go Bananas: To become irrational or crazy,,,,
591,Go Bananas: To become irrational or crazy,,,,
592,Go Belly Up: To go bankrupt,,,,
593,Go Berserk: To go crazy,,,,
594,"Go Bonkers: To be or become wild, restless, irrational, or crazy; to act in such a way",,,,
595,"Go Cold Turkey: Stop using an addictive substance suddenly, without tapering off",,,,
596,Go Down in Flames: Fail in a spectacular way,,,,
597,Go Mental: To suddenly become extremely angry,,,,
598,Go Nuclear: Use an extreme measure; because extremely angry,,,,
599,Go Nuts: To become crazy,,,,
600,"Go Off Half-Cocked: To say or something prematurely, with a negative effect",,,,
601,"Go Off the Deep End: To unexpectedly become very angry, especially without a good reason",,,,
602,"Go Off The Rails: To go wrong, to begin acting strangely or badly",,,,
603,Go Out on a Limb: Assert something that may not be true; put oneself in a vulnerable position,,,,
604,Go Pear-Shaped: To fail; to go wrong,,,,
605,Go See a Man About a Dog: Go to the bathroom (said as a euphemism),,,,
606,"Go to the Dogs: To become disordered, to decay",,,,
607,Go to the Mattresses: To go to into battle,,,,
608,Go the Extra Mile: Put forth greater-than-expected effort,,,,
609,Go Under the Knife: Undergo surgery,,,,
610,Go Viral: Begin To spread rapidly on the Internet,,,,
611,Go with the Flow: To accept the way things naturally seem to be going,,,,
612,Grab (Take) the Bull by the Horns: To begin forthrightly to deal with a problem,,,,
613,Grasp (Grab) at Straws: To take desperate actions with little hope of success,,,,
614,Go Ballistic: Fly into a rage,,,,
615,Grease the Wheels: Do something to make an operation run smoothly,,,,
616,Greasy Spoon: An inexpensive restaurant that fries foods on a grill,,,,
617,Green Around the Gills: To look sick,,,,
618,"Green as Grass: Lacking training, naive; often said of young people in new jobs",,,,
619,Grind One’s Teeth: Be very annoyed or angry about something without being able to say anything about it.,,,,
620,"Guilty Pleasure: Enjoying something which is not generally held in high regard, while at the same time feeling a bit guilty about it, is called a guilty pleasure.",,,,
621,"Guinea Pig: A test subject, a person who is used as a test to see if something will work",,,,
622,"Give and Take: Negotiations, the process of compromise",,,,
623,Give ’em Hell (often excl.): Express something passionately to a group,,,,
624,Give Lip Service to: Talk about supporting something without taking any concrete action,,,,
625,Give Lip Service: to Talk about supporting something without taking any concrete action,,,,
626,"Give One’s Two Cents (That’s My Two Cents): Offer an opinion, suggest something",,,,
627,Give Someone a Holler: Contact someone,,,,
628,Give Someone a Piece of Your Mind: Angrily tell someone what you think,,,,
629,Give Someone a Run for Their Money: Compete effectively with the leader in a particular field,,,,
630,Give Someone an Earful: angrily express an opinion to someone,,,,
631,"Give Someone the Cold Shoulder: act hostile toward someone; to ignore, snub",,,,
632,"Give Someone The Old Heave-Ho: Fire someone, remove someone from a group or team",,,,
633,Give Something a Whirl: Attempt something without being totally familiar with it,,,,
634,"Give the Green Light: Approve something; allow something to proceed


Idioms (H)",,,,
635,"Grease Monkey: A mechanic, especially an auto mechanic",,,,
636,"Hail Mary (n. or adj.): A desperate, last-ditch attempt",,,,
637,Hair of the Dog (That Bit You): A small amount of the alcoholic beverage that caused your hangover,,,,
638,Hands are Tied: You are prevented from doing something. It is not within your power,,,,
639,Hands Down: Undoubtedly,,,,
640,"Hang It Up: To retire, to end an activity one has pursued for a long time",,,,
641,Hang Tough: Maintain one’s resolve,,,,
642,Hanging by a Thread: In great danger of elimination or failure,,,,
643,"Happy-Go-Lucky: If you are a happy-go-lucky person, you are cheerful and carefree all the time.",,,,
644,Hard Nut to Crack: A difficult problem or a difficult person,,,,
645,Has the Cat Got Your Tongue?: Why are you not saying anything?,,,,
646,"Hat Trick: Scoring three goals in hockey or soccer (football), or accomplishing three of anything.",,,,
647,Hatchet Job: A strong attack on someone’s reputation; intentionally destructive criticism; calumny,,,,
648,Haul Over the Coals: To scold someone severely,,,,
649,Have (one’s) head in the clouds: Not know what is happening around you or out of touch with reality,,,,
650,Have A Ball: To have a very enjoyable time,,,,
651,Have a Bone to Pick (with Someone): To want to discuss something someone has done that has angered or annoyed you.,,,,
652,Have a Bone to Pick (with Someone): To want to discuss something someone has done that has angered or annoyed you.,,,,
653,Have a Chip on One’s Shoulder: To harbor resentment; to have an angry attitude,,,,
654,"Have a Dog in the Hunt (Fight, Race): To support a certain person in a competition",,,,
655,Have a Lead Foot: A tendency to drive very fast,,,,
656,"Have a Lot on One’s Plate: Be busy, be in the middle of many ongoing tasks",,,,
657,Have a Lot Riding On (Something): Be depending on the successful outcome or development of something,,,,
658,Have a Screw Loose: Be slightly unbalanced or crazy,,,,
659,Have a Tough Row to Hoe: Be faced with a task that is difficult because of unfavorable conditions,,,,
660,Have A Whale of A Time: To enjoy yourself very much,,,,
661,Have an Ace Up One’s Sleeve: To have a hidden advantage,,,,
662,Have Bigger Fish to Fry: Have more important things to do,,,,
663,Have Egg on Your Face: They are made to look foolish or embarrassed,,,,
664,Have Foot-in-Mouth Disease: To embarrass oneself through a silly mistake,,,,
665,Have Hand of Aces/Hold All the Aces: To be in a very strong position in a competition,,,,
666,Have It Out with Someone: To have an argument with someone in order to settle a dispute,,,,
667,Have One Foot in The Grave: To be near death (usually because of old age or illness),,,,
668,Have One Over the Eight: A person is slightly drunk.,,,,
669,Have One Too Many: Drink too much alcohol,,,,
670,"Have One’s Cake and Eat It, Too: To want two incompatible things (usually used in the negative)",,,,
671,Have Skin in the Game: Be risking something in an undertaking,,,,
672,Have Something in the Bag: Be certain to win,,,,
673,Have the Hots for (Somebody): To be (sexually) attracted to somebody,,,,
674,Have the Hots for Somebody: Finding somebody extremely attractive,,,,
675,"Have The Time of Your Life: If you have the time of our life, you enjoy yourself very much.",,,,
676,"Have the Time of Your Life: To have a very fun, exciting, or enjoyable time",,,,
677,Have Your Nose in the Air: Have a snobbish or disdainful attitude,,,,
678,Have Your Say: Express your opinion on something,,,,
679,Have Your Thumb Up Your Ass: Have nothing to do,,,,
680,"Have a Nose for (Something): To have natural ability at something, a talent for finding
something",,,,
681,He Would Put Legs Under A Chicken: He will talk your head off; he is very talkative,,,,
682,"Head (Go) South: Decline, get worse",,,,
683,Head and Shoulders Above: Far superior to,,,,
684,Head and Shoulders: Above Far superior to,,,,
685,Head Start: An advantage over everyone else,,,,
686,Heads Up (excl.): Get ready! Be prepared,,,,
687,Heads Up!: Be careful!,,,,
688,Heads Will Roll (Are Going to Roll): People will be fired,,,,
689,Heads Will Roll (Are Going to Roll): People will be fired,,,,
690,Hear (Something) Through the Grapevine: To learn something via gossip,,,,
691,Heart and Soul: With all one’s energy or affection,,,,
692,Heavens Open: Start to rain heavily,,,,
693,"Heavy Hitter: A powerful, influential person",,,,
694,Helicopter Parenting: Overattentive child-raising,,,,
695,"Hell for Leather: Very fast, as fast as possible",,,,
696,High as a Kite: Strongly under the influence of drugs or intoxcants,,,,
697,High as a Kite: Strongly under the influence of drugs or intoxcants,,,,
698,High as a Kite: Strongly under the influence of drugs or intoxcants,,,,
699,Hightail It (Out of There): Flee,,,,
700,Highways and Byways: You take large and small roads to visit every part of the country.,,,,
701,Hit a Wall: suddenly stop making forward progress,,,,
702,Hit It Out of the Park: Succeed brilliantly,,,,
703,Hit the Books: To study (generally said of students,,,,
704,"He Who Laughs Last Laughs Best: Being victorious is often a matter of simply
surviving a conflict",,,,
705,Hit the Hay: To go to bed,,,,
706,Hit the Jackpot: Do something that brings great success,,,,
707,Hit the Nail on the Head: To be absolutely correct (said of an utterance),,,,
708,Hit the Road: To leave,,,,
709,Hit the Roof: Explode in rage; become extremely angry,,,,
710,Hit the Roof: To become very angry,,,,
711,Hit the Sack: To go to bed,,,,
712,Hit the Spot: Be very satisfying (said of something eaten),,,,
713,Hive Mind: The knowledge of humans as a group,,,,
714,Hobson’s Choice: A choice among bad options,,,,
715,Hold One’s Liquor: Be able to drink a large amount without being affected,,,,
716,Hold One’s Peace: Be silent,,,,
717,Hold the Phone: Wait a moment (whether you’re on the phone or not),,,,
718,Hold the Phone: Wait a moment (whether you’re on the phone or not),,,,
719,Hold Your Horses (generally excl.): Stop; restrain yourself; don’t be so excited,,,,
720,Home Away from Home: A habitual hangout; a place one frequents often and where one feels welcome,,,,
721,"Home Truths: Honest, often painful criticism",,,,
722,Honor System: A system of payments that relies on the honesty of those paying,,,,
723,Hot Mess: Something or someone in a state of extreme disorder,,,,
724,Hot on the Heels (of): In close pursuit,,,,
725,Hot on the Heels (of): In close pursuit,,,,
726,"Hit the Ground Running: To begin a job or project with no learning or training period
needed",,,,
727,"Hot Potato: A controversial subject or difficult project that is best avoided


English Idioms Examples with Idiom Meaning | Image 4",,,,
728,41/112,,,,
729,"List of English idioms that start with I.


I Wouldn’t Put It Past (Someone): I think it’s quite possible that [this person] would do this.",,,,
730,"If It Had Been a Snake, It Would Have Bitten Me: It was very obvious, but I missed it.",,,,
731,"If the Shoe Fits, Wear It: If this description of you is accurate, accept it.",,,,
732,"I’m All Ears: You have my attention, so you should talk",,,,
733,"In a Fog: Confused, not mentally alert",,,,
734,In a Heartbeat: Immediately. This is especially used in hypothetical situations,,,,
735,"In a Jam: In need of help, in a difficult spot",,,,
736,In a New York Minute: Very quickly,,,,
737,In a Nutshell: Expressed in a few words,,,,
738,"In a Pickle: In need of help, in a difficult spot",,,,
739,"In a Rut: Confined by routine, bored and seeking new experiences",,,,
740,"In Broad Daylight: When something occurs in broad daylight, it means the event is clearly visible",,,,
741,In Clover: Benefiting from a positive financial situation,,,,
742,"In For a Penny, In for a Pound: Committed to something even though the risks are increasing",,,,
743,"In Full Swing: When something, such as an event, gets into full swing, it is at its busiest or liveliest time.",,,,
744,In His Cups: Drunk,,,,
745,In Hot Water: In need of help; in trouble,,,,
746,"In One Fell Swoop: All at once, in a single action",,,,
747,"In One’s Element: In a situation which is entirely suitable, familiar, or enjoyable.",,,,
748,In Someone’s Wheelhouse: In someone’s strongest area of competence or enthusiasm,,,,
749,In Touch: In contact,,,,
750,"In the Blink of an Eye: Quickly, seemingly instantaneously",,,,
751,In the Crosshairs (Cross Hairs): Targeted for blame or criticism,,,,
752,In the Dark: Not informed,,,,
753,In the Dark: Unaware of something,,,,
754,"In the Driver’s Seat: In a dominant position, in control",,,,
755,In the Hot Seat: Undergoing criticism or scrutiny; under pressure publicly,,,,
756,In the Interim: It denotes a period of time between something that ended and something that happened afterwards,,,,
757,"In the Limelight, In the Spotlight: Receiving large amounts of publicity or attention",,,,
758,In the Long Run: Over an extended period of time,,,,
759,In the Nick of Time: Just in time; with no time to spare,,,,
760,"In the opinion of the speaker, a person has just spent money unnecessarily and is, therefore, a fool.",,,,
761,"In the Pipeline: Being prepared for the marketplace, being worked on",,,,
762,In the Red: Losing money; (of a market index) below a specified starting point,,,,
763,In the Same Boat: In a similar situation; similarly vulnerable,,,,
764,In the Toilet: In disastrous condition,,,,
765,In the Works: Under development; coming soon,,,,
766,"Iron Out (Problems, Difficulties): To resolve",,,,
767,Is the Pope Catholic?: Isn’t the answer obvious?,,,,
768,It Never Rains but It Pours: Bad luck and bad things tend to happen at the same time,,,,
769,"It Takes Two to Tango: When something goes wrong involving two people, it’s likely that they share the blame; cooperation is necessary",,,,
770,It Takes Two to Tango: You say this when you think that a difficult situation or argument cannot be the fault of one person alone.,,,,
771,It Won’t Fly: It won’t work; it won’t be approved.,,,,
772,Itchy Feet: A person who has itchy feet is someone who finds it difficult to stay in one place and likes to travel and discover new places.,,,,
773,In the Cards: Likely; likely to occur,,,,
774,"It’s All Greek to Me: It is unintelligible, impossible to understand",,,,
775,It’s No Skin off My (Your) Nose (Back): The outcome will not affect me personally,,,,
776,It’s Not Over Till the Fat Lady Sings: Do not give up too soon; things may improve.,,,,
777,It’s Not Rocket Science: It’s not difficult to understand.,,,,
778,Jack of All Trades: A person with a wide variety of skills,,,,
779,Jam Session: Playing improvised music in an informal setting,,,,
780,Jim Crow: The system of racial segregation in the American South prior to the American civil rights movement.,,,,
781,Join the Club (excl.): I feel sympathy for you because I have experienced something similar.,,,,
782,Jump in with Both Feet: Begin a new experience wholeheartedly,,,,
783,Jump on the Bandwagon: To follow a trend or craze,,,,
784,Jump on the Bandwagon: To follow a trend; follow the crowd,,,,
785,Jump the Gun: Start doing something too soon,,,,
786,Jump the Shark: To pass peak quality and begin to decline. Often used to describe television programs or movie series.,,,,
787,Jump the Track: To shift suddenly from one activity or line of thought to another,,,,
788,Jump Through Hoops: Complete a series of tasks in order to satisfy someone,,,,
789,Just Around the Corner: Occurring soon,,,,
790,Just for the Record: I would like to make it clear that …,,,,
791,"It’s a Wash: A positive and a negative development cancel each other out, so the
situation has neither improved nor gotten worse",,,,
793,"Just What the Doctor Ordered: Exactly the thing that is or was needed to help improve
something or make one feel better",,,,
798,Keep (Something) at Bay: Maintain a distance from something or someone,,,,
799,Keep a Stiff Upper Lip: Control one’s emotions; not give in to fear or grief,,,,
800,"Keep an Eye On: To keep an eye on something or someone is to watch it periodically, to keep it under surveillance.",,,,
801,Keep an Eye Peeled: Be observant; watch out for something,,,,
802,Keep It Under Your Hat: Don’t tell anyone; don’t reveal this secret,,,,
803,Keep Someone at Arm’s Length: Avoid close interaction or cooperation,,,,
804,Keep Your Nose Clean: Avoid trouble or situations that compromise one’e honesty,,,,
805,Keep Your Powder Dry: Do not attack until you are ready.,,,,
806,Keeping One’s Nose to the Grindstone: Working hard on something repetitive or tedious,,,,
807,"Kick Ass, Kick Butt: 1) Defeat badly; 2) be excellent or highly effective (only kick ass would be used for 2)",,,,
808,Kick the Bucket: To die,,,,
809,Kick the Can Down the Road: Postpone an important decision,,,,
810,Kill a Fly With an Elephant Gun: Approach a problem with excessive measures,,,,
811,Kill Two Birds with One Stone: Act in such a way as to produce two desirable effects,,,,
812,Kill Two Birds with One Stone: Solve two problems with one move,,,,
813,Kill the Goose That Laid the Golden Egg: To destroy a source of ongoing profits or benefits,,,,
814,Kink in One’s Neck: A cramp in one’s neck that causes pain,,,,
815,King of the Hill: At the top of one’s field; the most influential person in a given field or area,,,,
816,Kiss and Make Up: Make peace after an argument,,,,
817,Kith and Kin: Family (collectively),,,,
818,"List of common English idioms that start with K.


Kangaroo Court: A court of law where proper procedures are not followed at all; a sham judicial proceeding",,,,
823,Knock Some Sense Into: To beat someone in order to teach him/her a lesson. May be used figuratively.,,,,
824,Knock Someone’s Socks Off: Amaze someone,,,,
825,Knock Up: To impregnate a woman. Often used in the form knocked up.,,,,
826,Knockout: An extremely beautiful woman,,,,
827,"Larger Than Life: Conveying a sense of greatness, imposing",,,,
828,Last But Not Least: What I have just said does not reflect a ranking in importance.,,,,
829,Laughter is the Best Medicine: Laughing a lot is a very effective means of recovering from physical or mental injury,,,,
830,Learn the Ropes: Become more familiar with a job or field of endeavor; be trained,,,,
831,Leave Someone in the Lurch: Abandon someone in a difficult situation,,,,
832,Lend an Ear: Listen,,,,
833,Let Bygones Be Bygones: Agree to forget about a past conflict,,,,
834,Let Bygones Be Bygones: Agree to forget about a past conflict,,,,
835,Let Off Steam: To express anger and frustration in a way that does no damage,,,,
836,Let One’s Hair Down: To relax and enjoy themselves.,,,,
837,Let Sleeping Dogs Lie: To avoid stirring up a problem; to leave things alone,,,,
838,"Let the Cat Out of the Bag: Reveal a secret, usually a secret you or others are trying to keep",,,,
839,Let the Genie Out of the Bottle: Reveal something hitherto suppressed,,,,
840,"Letter of the Law: The explicit meaning of a law, as opposed to the spirit of the law, the law’s general intention",,,,
841,"Knock on Wood; Touch Wood: Let’s hope I have good luck or continue to have good
luck.",,,,
842,,,,,
843,,,,,
844,47/112,,,,
845,,,,,
846,,,,,
847,Life is A Bowl of Cherries: Life is wonderful or very pleasant,,,,
848,Light a Fire Under Someone: Inspire someone to work very hard,,,,
849,Light at the End of the Tunnel: A sign of hope after a long period of difficulties,,,,
850,Like a Kid in a Candy Store: To be so excited about one’s surroundings that one acts in a childlike or silly way,,,,
851,Like a Moth to a Flame: Drawn to something or someone despite the dangers,,,,
852,"Like Father, Like Son: Sons inherit their fathers’ traits and preferences, often even without realizing it.",,,,
853,Like Shooting: Fish in a Barrel Very easy,,,,
854,Like Taking Candy from a Baby: Very easy,,,,
855,Like Two Peas in a Pod: Bearing a strong resemblance,,,,
856,"Like The Cat That Got The Cream: Looking particularly self-satisfied, often to the annoyance of others",,,,
857,Lion’s Den: Any dangerous or frightening place.,,,,
858,Lion’s Share: The largest part of something,,,,
859,Live Large: Have a luxurious lifestyle,,,,
860,Living in Cloud Cuckooland: Having unrealistic or foolish beliefs or plans.,,,,
861,"Living on Borrowed Time: Following an illness or near-death experience, may people believe they have cheated death",,,,
862,Living Under a Rock: Ignorant of important events. Usually used as a question: Have you been living under a rock?,,,,
863,"Loaded for Bear: Prepared for problems, well prepared for a challenge",,,,
864,Loan Shark: A predatory lender; one who makes high-interest loans to desperate people,,,,
865,"Lock Horns: To lock horns is to argue, to come into conflict.",,,,
866,Long Shot: Something with little chance of success,,,,
867,"Look the Other Way: Take no notice of violations of laws or rules, unofficially condone something",,,,
868,Lick One’s Wounds: Rest after a bad defeat,,,,
873,Loose Cannon: Someone out of control; someone who speaks or acts recklessly,,,,
874,Lose It: To suddenly become unable to behave or think in a sensible way,,,,
875,Lose One’s Touch: Suffer a decline in one’s skill at doing something,,,,
876,Lose Touch: To fall out of contact,,,,
877,Lose the Thread: Be unable to follow someone’s reasoning,,,,
878,Love at First Sight: Falling in love with somebody the first time you see them,,,,
879,Love Rat: Somebody who cheats on his/her partner,,,,
880,Love Someone With All of One’s Heart And Soul: To love someone completely,,,,
881,Lower the Boom: Implement a punishment; reprimand severely,,,,
882,Look What the Cat Dragged In: Someone unwelcome has arrived.,,,,
883,Low-Hanging Fruit: Easy parts of a task; solutions easy to obtain,,,,
884,49/112,,,,
885,"Mad As A Box Of (Soapy) Frogs: extremely mentally unstable; psychotic; detached
from reality.",,,,
886,"Mad as A Hatter: Mentally ill, psychotic",,,,
887,Main Squeeze: Committed romantic partner,,,,
888,"Make a Break for It: Try to escape, run off",,,,
889,Make a Mountain out of a Molehill: To take something too seriously; to make too much of something,,,,
890,Make a Silk Purse out of a Sow’s Ear: Turn something ordinary or inferior into something refined and beautiful,,,,
891,Make Ends Meet: Have enough money to cover basic expenses,,,,
892,Make Hay (While the Sun Shines): To take advantage of an opportunity at the right time.,,,,
893,Make Love: To have sexual intercourse,,,,
894,Make Nice: Act cordial despite conflict,,,,
895,Make One’s Mark: Attain influence or recognition,,,,
896,Make Someone’s Day: Do something pleasing that puts someone in a good mood,,,,
897,"Make Waves: Cause controversy, disturb a calm group dynamic",,,,
898,"Man Cave: A part of the house, often the basement, that is left to the man of the household, perhaps with a workshop, a television for watching sports, etc.",,,,
899,"March to the Beat of Your Own Drum: When someone does things the way they want to, without taking anybody else or anything else into consideration.",,,,
900,"Match Made in Heaven: A relationship in which the two people are great together, because they complement each other so well",,,,
901,May-December (adj.): Significantly different in age. Said of couples where one member is much older. The most common usage is May-December romance.,,,,
902,"May-December Marriage: A marriage between a younger and an older partner, typically a young woman and an old man.",,,,
903,"Me Time: Activities undertaken for one’s own enjoyment, free from responsibilities to others.",,,,
904,Meeting of the Minds: Strong instinctive agreement on something,,,,
905,Mend Fences: Improve relations after a dispute,,,,
906,Miss the Boat: Be too late for something; miss an opportunity,,,,
907,Monday Morning Quarterback: Someone who offers criticisms or comments after already knowing the outcome of something,,,,
908,,,,,
909,"Month of Sundays: A long time, many months",,,,
910,More Fun Than A Barrel of Monkeys: A very good time; a pleasant occasion,,,,
911,Mother Nature: The natural world,,,,
